行号,对抗性jargon,还原词
1,釒莎,金沙
1,章呺,账号
1,蜜蚂,密码
1,亓,元
5,首憧书,首充送
5,包裴,包赔
9,褀簰,棋牌
9,沅,元
10,贊助商,赞助商
10,㊕,特
10,㊟册,注册
10,诵,送
10,覹信,微信
11,泇,加
11,∨,微信
11,5个/数,五个数
13,骑/徘,棋牌
13,妧扑`鱼,玩捕鱼
13,J/花,金花
13,牟`牟,牛牛
15,豪礼f到,豪礼发到
16,会員,会员
16,薪坪苔,新平台
16,首銃,首充
16,贈118沅,赠118元
16,镫陆,登录
16,嶺取,领取
16,超级幅俐,超级福利
17,賺钱,赚钱
17,注侧,注册
17,即诵,即送
17,沅,元
17,惦击,点击
17,领娶,领取
19,軆驗,体验
19,綫上.愉乐,线上娱乐
19,汧昈,开户
19,聆38,领38
20,微信,微信
20,打包点,可能指代非法交易地点
21,粸牌,棋牌
21,验证码戳743599.cn,验证码链接
21,158￥♡✫☎,158元
24,玳完,代玩
24,佳扣扣,加QQ
24,3zO,加我
25,犹,游
25,禮金,礼金
25,沖,充
25,宋,送
25,嚸,点
25,岭,领
26,电孑,电子
26,QI牌,棋牌
26,58¥,58元
28,網赚,网赚
28,嶶,微信
28,え,元
28,咖,加
29,妳跟著我做,你跟着我做
29,嘚,得
29,垫進,点击进入
30,粸牌,棋牌
31,粸牌,棋牌
31,嶺,领
32,再玛,在吗
32,餸伱,送你
32,55￥,55元
33,平邰,平台
33,放氺,放水
33,沖掷,充值
33,嚸,点
34,再玛,在吗
34,餸伱,送你
34,55￥,55元
35,扎菳埖,炸金花
35,䒜汼,牛牛
35,卜渔,捕鱼
35,註®侧,注册
35,茺1白㮸一百,充100送100
36,亜搏坪台,亚博平台
36,福禮,福利
36,圓,元
37,理財,理财
37,即送68原,即送68元
38,凴手*机,凭手机
43,园,元
46,骑哌,棋牌
46,氵舌动,活动
46,大扎包,大礼包
48,彩唫,彩金
49,建苍,建仓
49,V信,微信
51,貴宾,贵宾
51,注，册,注册
51,秒送668￥,秒送668元
53,新V信,新微信
54,登入,登录
55,犹,游
55,禮金,礼金
55,沖,充
55,宋,送
55,嚸,点
55,岭,领
57,回〰️血,回血
57,操祚,操作
57,婄’付,赔付
60,vip,会员
60,188沅,188元
61,䋞,网
61,平囼,平台
61,遊戏,游戏
61,㮸,送
61,現唫,现金
61,优蕙,优惠
61,唫,金
62,苹.苔,平台
62,紅.苞,红包
62,柱冊,注册
62,秒換,秒换
64,佳V,加微信
65,粸牌,棋牌
66,加V,加微信
68,咋金椛,炸金花
68,妞妞,牛牛
68,逋魚,捕鱼
68,户立缯,注册赠
68,沅,元
68,沖,充
68,增,赠
68,瞪碌,登陆
68,玲,零
69,真惍棋簰,真金棋牌
69,熷16~188*秒/換,赠送16~188秒兑换
70,萁簰,棋牌
70,牜牜,牛牛
70,柏嘉楽,百家乐
70,卟鱼,捕鱼
70,住冊,注册
70,沅,元
71,y徕僦,来就
71,卟余,捕鱼
71,妞妞,牛牛
71,都蒂祝,斗地主
72,瀑富,暴富
72,大萍咍,大平台
72,xin籁,新来
74,崧,送
74,包盈,包赢
74,甫-余,捕鱼
74,纽-纽,牛牛
74,都-蒂-柱,斗地主
74,點,点
75,墺迪粸牌,奥迪棋牌
75,嶺,领
78,玳完彩漂,代玩彩票
78,兲,天
78,圆,元
78,叁万,三万
79,逋,捕
79,淦埖,炸金花
79,再綫,在线
79,䒜汼,牛牛
79,註®侧,注册
79,茺,充
80,佰嫁乐,百家乐
80,抓鱼,捕鱼
80,下傤,下载
80,宋8え,送88元
80,渴茺,可充
80,宋100沅,送100元
83,祁排,棋牌
83,沅,元
83,特腰vip,特邀会员
85,匍/京,北京
85,钒水,反水
85,哌送,派送
86,圆,元
86,菜琻,彩金
86,福丽,福利
87,钲槻淇簰,真钱棋牌
87,楽享诚挚撽请,乐享诚挚邀请
87,龍唬斗,龙虎斗
87,砸今花,炸金花
87,浦/魚,捕鱼
87,新戸得188,新户得188
87,月入絔澫,月入百万
89,虹包,红包
89,斤华,炸金花
89,莆于,捕鱼
89,扭纽,牛牛
90,主册,注册
90,宋,送
91,采票,彩票
91,威信,微信
92,榨琻椛,炸金花
92,逗哋柱,斗地主
92,蔴蒋,麻将
92,祺簰,棋牌
92,沅,元
92,荭苞,红包
93,vip,会员
93,沅,元
94,彩唫,彩金
94,唫花,金花
94,哺渔,捕鱼
94,眞人视迅,真人视讯
97,住ce,注册
97,给188,赠送188元
98,漁哆哆,鱼多多
98,銭哆哆,钱多多
98,瓴,领
98,諨俐,福利
99,䒤结算,日结算
101,惘址,网址
101,注側,注册
101,淞,送
101,签菿淞,签到送
101,再，綫，愘，腹办,在线客服
101,「太陽。诚」,太阳城
102,咋金誮,炸金花
102,妞妞,牛牛
102,逋魚,捕鱼
102,繒,赠
102,瞪碌,登录
102,丅傤,下载
104,18え荭包,18元红包
104,⒉⑧,28
104,幸运2８,幸运28
105,莱大赢家,来大赢家
105,富俐多多,福利多多
105,崧188,送188
106,噔录,登录
106,翎取797沅,领取797元
107,宋②⑧¥,送28元
107,至高6766,最高6766元
108,莱就宋,来就送
108,卜余,捕鱼
108,锦骅,金花
108,niu妞,牛牛
111,淘会员,淘宝会员
111,威信,微信
113,旗排,棋牌
113,遊系苹苔,游戏平台
113,柱侧,注册
113,玲取,领取
114,薇,微信
114,6菏,六合彩
114,叁祃,三码
116,墺們,澳门
117,苞-婄,包赔
117,啁年札,周年礼
117,丅儎,下载
118,利万嘉资本,可能为虚假投资公司
118,投一万元，日分红98元,高风险投资或诈骗
118,周期短，资金灵活,诱导性投资术语
118,银行存管,虚假安全保证
119,粸牌,棋牌
119,得158￥,得158元
121,娶688,取688
121,豆D拄,斗地主
121,笼虎,龙虎
121,鱼,捕鱼
122,z精准计划,精准计划
122,艏村瓴,首存领
122,睬惍,彩金
123,代理,代理（通常指地下产业中的推广人员）
123,会员,会员（通常指地下产业中的用户）
123,分红,分红（通常指非法收益）
124,倛俳娯泺,棋牌娱乐
124,铳,充
124,应侑尽侑,应有尽有
126,閣下,阁下
126,再玛,在吗
126,餸伱,送你
126,55￥,55元
126,I3u,捕鱼
128,上琪的{龍}08,上期的龙08
128,威,微信
128,琪的3个宵,期的三个号
129,粸牌,棋牌
129,贈,赠
129,戳,点击
130,亚搏,亚博（博彩平台）
130,稳单推健,稳定的博彩推荐
132,鎹,送
132,珫,充
133,冲/给/389,充值给389元
133,https://y9g.cc/y,赌博网站链接
134,墺迪粸牌,奥迪棋牌
134,嶺,领
135,徽信,微信
135,zmy56320,微信号
136,簯簰,棋牌
136,荭苞,红包
136,抖地柱,斗地主
